1;8;13;21;32;41
1;9;17;36;39;49
6;14;23;41;45;47
1;7;12;20;41;47
11;12;22;31;32;40
1;4;12;20;22;34
2;9;21;31;34;37
3;16;19;22;34;40
3;4;14;18;22;34
2;16;24;42;47;49
3;6;17;19;33;36
8;17;33;35;36;45
2;4;5;24;38;41
2;24;25;26;27;42
1;9;23;31;33;42
6;8;20;22;23;44
5;9;12;18;42;43
1;6;23;24;41;46
12;32;36;38;39;40
2;10;25;33;39;47
9;12;16;28;37;42
3;10;18;30;36;44
15;27;30;35;43;48
6;10;12;14;17;34
11;14;29;31;43;44
1;7;8;22;45;47
3;6;14;21;22;26
11;16;18;35;37;45
13;23;26;27;41;49
3;9;11;21;33;43
15;20;23;32;36;47
3;18;20;31;33;48
19;27;37;38;47;49
3;11;29;34;35;46
21;30;32;34;40;44
20;30;40;42;44;47
5;20;23;25;29;33
2;17;19;25;40;42
3;4;9;11;14;15
4;9;17;25;44;49
21;29;32;33;39;47
3;12;20;24;32;34
9;15;18;22;36;38
16;32;34;35;41;42
10;15;20;25;41;48
4;6;23;28;33;44
3;16;32;38;40;44
2;23;27;28;32;37
7;11;23;28;39;45
4;12;27;32;45;48
1;16;24;38;39;41
16;17;28;32;36;48
3;6;27;29;38;39
12;25;30;31;40;45
9;15;17;22;39;45
15;17;30;31;32;37
8;15;16;24;26;48
4;11;17;18;21;22
2;8;17;19;26;32
16;22;25;32;34;39
4;9;23;45;48;49
13;19;26;27;32;33
1;12;13;24;45;46
4;12;22;27;36;47
5;10;13;31;39;41
7;34;35;37;40;48
8;12;27;29;38;44
3;15;27;29;35;41
3;14;21;25;30;49
1;19;25;34;38;47
10;15;20;32;43;48
17;19;23;25;28;37
16;20;27;35;37;48
4;6;29;30;34;35
6;13;14;16;17;33
4;5;19;28;39;41
6;12;13;18;20;47
14;18;34;36;41;45
11;16;38;39;41;46
10;18;20;28;33;39
1;15;37;38;41;42
5;19;29;32;36;37
11;19;20;25;35;36
4;15;27;34;43;44
8;11;20;27;40;47
5;18;24;36;43;47
12;16;35;44;45;48
10;19;21;28;31;41
10;26;29;30;39;46
3;5;10;11;40;41
2;9;10;11;19;35
2;20;22;36;38;39
4;12;19;39;43;46
1;8;9;27;42;46
8;9;22;37;42;45
8;25;34;37;41;43
1;14;16;25;29;41
8;20;23;32;38;41
11;24;30;41;43;45
4;11;30;41;45;48
5;20;21;31;33;47
2;13;19;22;31;38
11;16;25;26;27;49
15;16;24;33;39;41
2;11;14;16;19;29
18;22;24;33;37;48
4;14;25;32;45;47
4;17;37;38;40;44
21;31;34;45;46;49
1;7;14;19;42;44
2;3;4;10;14;29
12;17;27;35;41;45
6;15;26;37;42;47
16;20;34;39;41;48
10;13;16;33;44;49
10;11;13;23;28;48
